patient,O00305.3_N,O00305.3_C,O00305.4_N,O00305.4_C
5,0,0,0.225493105867861,0.361183213899092
6,0,0,0.640230439176032,0.900984238797571
7,0,0,0.377225774464004,1.03932494634466
8,0,0,0.924841350038687,2.3685379842062
29,0.576948558483469,1.32682567160351,0.203369894714697,1.58369751274229
30,0.601803765681434,4.45605458314633,0.346502443269295,0.601125529534392
31,0.458059242161954,1.00247376632258,0.209721438612261,0.384524686104444
32,0.525220127802355,1.45381590476801,0.661847704474386,2.06386925879529
33,0,0,0.214220239647821,1.84291942361026
34,0,0,0.525733661948589,0.703298750658739
35,0,0,0.43587743999489,1.89299953688671
36,0,0,0.206526703538292,1.35550066805423
45,0,0,0.437986361147522,1.5550697705288
46,0,0,0.46859081783338,1.9365926097994
47,0,0,0.717143141581908,1.75455043222884
48,0,0,0.142788166387363,1.61739036652342
51,0,0,1.68777903966674,1.92994064013021
52,0,0,0.952079894430472,1.20555021679457
73,0.615050330944481,0.67534055678197,0,0
74,0.655320713242093,1.93656444180197,0,0
75,0.815843322311228,1.46100406811323,0,0
76,0.74245410946957,3.47777729846522,0,0
77,0,0,1.6214182851689,0.82164802168983
78,0,0,1.21909431444342,1.2395826734743
79,0,0,1.5301740338608,2.02910559011457
80,0,0,0.352966515057455,0.9279286127546
81,0,0,1.57337881471439,3.39788190876027
82,0,0,0.773251991632592,2.02873198784248
83,0,0,0.383892010874715,2.07788686506461
84,0,0,0.98196488312597,1.59751893235373
85,0,0,0.996351407298514,1.85538466306973
86,0,0,0.932013965608472,2.73606815429473
87,0,0,0.0872055720740965,1.96853531585345
88,0,0,0.713995054031496,1.61531700470022
