patient,Q9BZF9_N,Q9BZF9_C,Q9BZF9.2_N,Q9BZF9.2_C
9,1.18961357473281,0.979277994895518,0,0
10,1.10354522252353,1.10645138778115,0,0
11,0.987856914978466,0.843974318073058,0,0
12,1.29289958526081,0.89516868719094,0,0
29,0,0,2.0022985791864,0.673339259176956
30,0,0,1.60601936084221,0.912605380480827
31,0,0,2.04674935070346,0.782864126887127
32,0,0,2.88391827891279,0.952702045804919
33,0.834383937258602,0.81309078043459,0.856370856193314,0.871891274681817
34,1.17089954889878,0.616310404811746,0.899692260562007,0.970059227077357
35,0.881469469587522,0.614724179614942,1.15996068547451,0.977893122046769
36,0.436547454079075,0.867612111920276,2.43822003137735,1.20468618003918
37,2.00944770442013,2.14007607702061,0,0
38,1.28630908501165,1.16917996048713,0,0
39,1.166089700115,0.712363990210244,0,0
40,0.678837024150031,0.900038333382479,0,0
49,0.683014160824808,0.532340548371121,0,0
50,0.830014486574097,0.585893201903647,0,0
51,1.20934291336393,0.610202573684224,0,0
52,1.06801804068423,1.10951532213427,0,0
53,1.12644213794493,0.736178990206827,0,0
54,1.23419705561567,0.795888611416458,0,0
55,1.04305079270236,0.952269182882604,0,0
56,1.07994493752582,0.959184869541103,0,0
65,0.622400147383935,1.55872512896094,0,0
66,0.837030213706706,1.3481429624171,0,0
67,0.972778187177598,1.73495946941783,0,0
68,0.810766396462786,1.01081798084009,0,0
