patient,Q12979_N,Q12979_C,Q12979.2_N,Q12979.2_C,Q12979.3_N,Q12979.3_C
5,0,0,0.860770187906079,1.34955013462914,0,0
6,0,0,0.339503955539336,1.29184207728316,0,0
7,0,0,0.845221024560839,2.69152827786766,0,0
8,0,0,0.838284103415873,1.10397622940691,0,0
9,0,0,1.07978603784496,1.22913387091593,0,0
10,0,0,1.65829304141099,1.24049458669322,0,0
11,0,0,1.19384296591384,0.880764689819128,0,0
12,0,0,1.24262095608314,0.924613277861663,0,0
17,0,0,0,0,1.62468507570655,1.3677916635486
18,0,0,0,0,1.72803512185387,0.851355733492978
19,0,0,0,0,1.2753124298436,1.30727631020978
20,0,0,0,0,1.62504926538452,0.88739554491257
33,1.03856822163655,2.02797803829175,0,0,0,0
34,1.06833433004469,1.01504383025655,0,0,0,0
35,0.970119695517203,0.547522095437867,0,0,0,0
36,0.683364336565884,1.27419679589856,0,0,0,0
89,0,0,0,0,1.44492002873672,0.572119333005634
90,0,0,0,0,2.03080122509169,0.581294664801301
91,0,0,0,0,2.06726660868908,0.700415926192007
92,0,0,0,0,2.0690361855787,0.510944908685295
97,0,0,2.0870963431473,1.53055097768474,0,0
98,0,0,1.35963654180215,1.91375885261236,0,0
99,0,0,1.65912431517527,7.09153267115051,0,0
100,0,0,1.99092245334284,3.01366531557614,0,0
