patient,Q8N8R3_N,Q8N8R3_C,Q8N8R3.2_N,Q8N8R3.2_C
17,1.09010600706714,2.09480632042136,0,0
18,0.721887709180612,1.46157660510701,0,0
19,0.495362190812721,0.467987449163278,0,0
20,0.861263667577839,1.30897476498433,0,0
21,0.939050010949305,0.956938437534217,0,0
22,1.12766204970984,1.32093438629147,0,0
23,1.39246756268477,0.992944541771598,0,0
24,1.03733370743458,1.05876354976459,0,0
41,0.656500036479486,0.969617147790559,0,0
42,1.03426639752912,1.23956382694132,0,0
43,0.542646039543763,1.52309455482867,0,0
44,0.366614278070965,1.38069231985214,0,0
45,0.762805524543776,1.59834361988218,0,0
46,0.500484485918311,0.716923303772671,0,0
47,0.993494547778035,2.611045576784,0,0
48,0.52014478405269,1.0675647209993,0,0
49,0.762239492815981,0.819200955694515,0,0
50,0.9379675968265,1.01441978341641,0,0
51,0.919579251440122,1.04632013741483,0,0
52,0.617710945154429,1.10047278531632,0,0
53,0,0,1.16612047162754,1.29329961172657
54,0,0,0.940398247426353,0.614289530865957
55,0,0,0.901394578420546,0.822379154347594
56,0,0,1.16339543333452,1.11544544580202
73,0.94704014416558,0.777413767463018,0,0
74,0.685508209914883,1.28906598549596,0,0
75,0.585344623971027,1.18285321879401,0,0
76,0.667986143308285,1.51123669223973,0,0
77,2.42827084590146,3.05453396922531,0,0
78,1.77289950611504,2.69655601060308,0,0
79,1.83433676725439,2.93993564248202,0,0
80,1.44284304848239,2.89828534876445,0,0
81,0.854791894959683,2.54383815056145,0,0
82,0.985943041628863,1.57960307454233,0,0
83,0.721908667082995,1.4123217350662,0,0
84,0.726951733455875,2.58899794585381,0,0
89,1.15697236950206,4.86568392976046,0,0
90,1.05014030475677,3.91035816167239,0,0
91,1.51229804412733,4.774909282225,0,0
92,1.31893025182198,3.18884603042753,0,0
