patient,Q8TA94_N,Q8TA94_C,Q8TA94.2_N,Q8TA94.2_C
9,0.701991978918656,1.70591005755762,0,0
10,0.79177839162294,0.833675250225376,0,0
11,0.642640022190888,1.88767018792908,0,0
12,0.804555488777421,1.23474954346871,0,0
29,0.862735551547475,1.37525035132174,0,0
30,0.891982395184402,1.03426216901066,0,0
31,0.718789074170383,1.03812947451119,0,0
32,0.719827824682151,1.55119615371848,0,0
33,0.45801520563076,1.45911168801851,0,0
34,0.97633694258786,0.970497770754557,0,0
35,1.22913458515073,1.73567719880999,0,0
36,0.577989325421461,1.50004635863036,0,0
53,0,0,1.21125680477594,1.29144281313116
54,0,0,0.914419214324248,0.997436366149333
55,0,0,0.92156172115689,1.08200507376578
56,0,0,1.11354445786946,1.09443089557762
73,1.08380954115574,1.14390810668877,0,0
74,1.34108318876347,1.38795418083907,0,0
75,0.732953277751722,1.28641680744205,0,0
76,0.956038618746879,1.11046503685962,0,0
77,0.906703031767375,0.925769760063871,0,0
80,0.915634979830238,0.51046043785192,0,0
81,0.897934148769734,1.32106030436638,0,0
82,0.780589532072251,1.90809451002702,0,0
83,0.596426539610297,2.15137427108519,0,0
84,0.624509315886787,2.90348101265823,0,0
