patient,Q96N21_N,Q96N21_C,Q96N21.2_N,Q96N21.2_C
5,0.986966520886744,1.12579173578646,0,0
6,0.86587618760368,1.0373058362238,0,0
7,1.07919242949781,0.849543809380184,0,0
8,1.19729678781481,0.99419770773639,0,0
9,0.918733825288444,1.63355015883333,0,0
10,0.936473474749159,1.63188781109468,0,0
11,0.931229507778324,1.69787978350345,0,0
12,1.01034500946875,1.61072988465655,0,0
49,0,0,0.672204572090199,1.01873032010279
50,0,0,0.862053628161139,0.973623642704847
51,0,0,0.824303525790373,1.1448087431694
52,0,0,0.66875008825066,1.17570353426244
53,0,0,0.87742902605501,1.26010775875309
54,0,0,0.832580742269815,1.43001517469328
55,0,0,0.8187760719047,1.76537589619773
56,0,0,0.86074300704671,1.3837108575852
61,0,0,1.02702943042963,1.29784112175976
62,0,0,0.839674692902501,1.21647392652296
63,0,0,1.32721092010008,1.67268398565868
64,0,0,1.34403812495705,1.22172055441254
65,0,0,1.20395042838327,1.32336960065377
66,0,0,1.29731016165981,1.63448539671638
67,0,0,1.43136739244776,1.41045898518155
68,0,0,1.15210322928394,1.28948580966829
89,0.911659724447293,1.68291252803589,0.787382682944041,1.10147837132171
90,0.947167574495354,1.90905799423262,0.632136052501588,1.12973325806224
91,1.32855174623518,1.6671900032041,0.908580904664456,1.09065344718086
92,1.27854533803268,1.86538289009933,1.12449368428481,1.30618516689013
93,1.01795386923683,0.644292144546449,0,0
94,1.50432634844747,1.04766612415126,0,0
95,1.14491201078249,1.05274584848562,0,0
96,0.97652773186176,1.43430689418407,0,0
