patient,Q7L099.2_N,Q7L099.2_C,Q7L099.4_N,Q7L099.4_C
1,4.84471138010264,6.68268097173046,0,0
2,5.15203146254807,6.30079950620042,0,0
3,4.82137743127218,5.62205740683755,0,0
4,4.53174973744602,4.85804390158535,0,0
5,2.85843754195499,8.63739110256331,0,0
6,2.5133387135545,5.62326050700683,0,0
7,3.28570229836692,4.38667366964172,0,0
8,4.63150173828744,5.97923149569855,0,0
9,3.28081766858222,4.47551255570592,0,0
10,4.03748077623858,6.94690108320239,0,0
11,3.33493182091315,5.74541131599936,0,0
12,4.27621996556648,5.42611542919323,0,0
13,3.75140052709425,5.16908069086948,0,0
14,3.82891450410021,6.74802086757747,0,0
15,4.55593363801319,5.05411213147022,0,0
16,3.60503673218044,6.54393244517299,0,0
17,4.31014754762423,5.29251333510683,0,0
18,3.32753878691781,4.3092489991543,0,0
19,2.86873090614713,6.4923996154838,0,0
20,3.41329203206051,4.79977250144127,0,0
21,1.97706373606406,2.3641195069556,0,0
22,1.74498702126499,2.5203399169892,0,0
23,2.11725760844042,2.13681867163926,0,0
24,2.13168336117937,2.25357179318527,0,0
25,4.50047064695062,7.14185085719904,0,0
26,4.67077475558573,5.52774807205391,0,0
27,4.12416240469034,7.08259239243241,0,0
28,3.69547179122519,5.64592733701908,0,0
29,4.49127758931115,5.20581973419033,0,0
30,3.97492105448823,4.26129113000536,0,0
31,4.17319867432035,3.29923026624157,0,0
32,3.91329473407729,4.99086973393462,0,0
38,0.427011743490607,2.22966082799817,0,0
40,0.516407320019307,0.739433186080301,0,0
41,3.03678711553313,3.29867079206316,0,0
42,2.48206334760867,3.1105812283516,0,0
43,2.19127879199783,2.50626391939344,0,0
44,1.5846700938924,3.43101974229173,0,0
45,2.79480046791556,4.13907605590726,0,0
46,1.76540118638918,4.56949575924173,0,0
47,4.02879747612927,10.386229914038,0,0
48,1.65450853515606,3.07061832613967,0,0
49,0.871054259260195,2.17942598488406,0,0
50,1.03684367785002,1.90205046085431,0,0
51,1.43973898825499,2.68285914020803,0,0
52,1.34443110377727,3.10524858444095,0,0
53,2.63480640064724,1.90588161073187,0,0
54,2.06775355439063,1.80099968590979,0,0
55,2.50145961297146,3.01145219402574,0,0
56,2.39568375284956,2.55005675969463,0,0
57,3.09345567648563,6.10277936649566,0.57066635139052,0.591356348492014
58,3.25680921822826,4.56656578883316,0.585448734573081,1.1225572455035
59,3.48384550499912,5.25657358385273,0.404276822626657,0.406725297859682
60,4.23589556116043,6.33988008264606,0.384113133285533,0.285756510198166
61,4.62777766075936,8.49877535081299,0,0
62,2.61052914313936,7.05947001695076,0,0
64,3.63615271265974,5.08049725040114,0,0
65,2.94791882523937,2.68513438025497,0,0
66,3.42528106449231,3.68827985363231,0,0
67,2.95777721481535,2.26330445086971,0,0
68,3.12810402889407,5.41628849351934,0,0
69,1.77242485428693,2.02174145885195,0,0
70,2.2147460403295,2.07400664521268,0,0
71,2.12150733825399,1.90948309315947,0,0
72,1.18734699734393,2.494871669131,0,0
73,4.19101840171708,5.21982019784742,0,0
74,4.01613135351783,4.00340697466308,0,0
75,2.58573701808033,4.43028816430887,0,0
76,2.60009772767551,4.30803720153242,0,0
77,1.51766042983654,1.25110388716526,0,0
78,1.47076949141774,1.93961534253151,0,0
79,1.47040594104837,2.24141509334067,0,0
80,0.986492162489367,1.69735314153404,0,0
81,5.15313920687006,4.62501150334297,0,0
82,4.45348450507666,5.6327833043793,0,0
83,3.64406310816935,7.68934813399635,0,0
84,4.53068462350891,6.49398965119092,0,0
85,0.9623654494555,2.19505143121531,0,0
86,1.97262311019936,4.20015292103226,0,0
87,0.9665674859467,3.29445184523063,0,0
88,1.0412335318167,2.79540829013242,0,0
89,2.49299876283327,8.29219692550319,0,0
90,3.26035449176269,7.839962020966,0,0
91,2.93772852681048,6.22074030810565,0,0
92,3.49935818399718,6.67458880497149,0,0
93,3.23878961027881,3.8597338709285,0,0
94,3.1756380235805,4.03310237983303,0,0
95,2.17624955235048,4.79227748295486,0,0
96,3.74070825171604,5.42624059873444,0,0
97,2.10609091916282,4.19946403520135,0,0
98,4.32109456171937,4.41764882778581,0,0
99,3.9049623981821,6.05333664097223,0,0
100,3.40763274869452,4.66543428577508,0,0
