patient,O43526.4_N,O43526.4_C,O43526.6_N,O43526.6_C
17,0,0,0.713354738592571,0.755166433166775
18,0,0,1.4005985005735,0.737433670816747
19,0,0,0.809225957779515,0.729031643534964
20,0,0,1.07158193861797,0.620392676702532
21,0.247720984320907,2.09009797762421,0,0
22,0.486922727333485,1.63642682421504,0,0
23,0.708219159771697,1.38694478232393,0,0
24,0.857872294922006,2.63209602609172,0,0
25,0.198990716306704,1.26505891675241,0,0
26,0.492510972636709,2.43386847071853,0,0
27,0.526717964768232,2.58499933530891,0,0
28,0.467076856084436,1.40824489103777,0,0
49,0,0,0.241688095500269,1.53312778925687
50,0,0,0.755719393472248,1.06676889893579
51,0,0,1.40254846586824,1.71000472837739
52,0,0,0.955975891752544,1.52400946970924
85,0.738238214848998,2.13020912436474,0,0
86,0.647631286874233,2.62293942403178,0,0
88,0.498752847713067,2.4065862491968,0,0
