patient,P54687.4_N,P54687.4_C,P54687.5_N,P54687.5_C
9,0,0,0.365913010988374,1.19722705816607
10,0,0,0.550194949825181,5.05099616864408
11,0,0,0.718099814954689,2.26848802359046
12,0,0,0.398583412918385,1.44546800036719
13,0,0,0.710772530716974,1.39410477286119
14,0,0,0.328340363708921,1.17744761512825
15,0,0,0.598659084461155,1.84992408441439
16,0,0,0.462751480120093,0.496670314355996
17,0,0,1.44917245966638,1.55157617414214
18,0,0,0.494541755246306,0.633774601228594
19,0,0,0.272995709050122,0.824266691012482
20,0,0,0.998095809476608,1.14711828153326
33,0,0,0.0731878124836681,0.953626117101894
34,0,0,0.358848840652928,1.57599428601293
35,0,0,0.582896364301517,1.21931954775883
36,0,0,0.19361949723882,1.49474069299514
41,0,0,0.641576532490129,0.996097671150371
42,0,0,0.409073228267416,1.47676796827946
43,0,0,0.601084119654688,0.887823730174664
44,0,0,0.238290922170916,1.07619370273707
45,0,0,0.44042263650722,1.48756028598827
46,0,0,0.75844708935018,1.89922016019856
47,0,0,0.456758024029783,0.757366524706679
48,0,0,0.241018797946751,1.34411136337996
65,0,0,1.73533514878333,4.55228234108528
66,0,0,1.41607901378837,3.45537150522547
67,0,0,1.96691479101367,3.4857748881119
68,0,0,1.16635130714601,2.77146072607862
81,0,0,2.29688466210442,3.34629257245409
82,0,0,1.92705757835718,4.38335812829383
83,0,0,1.64065526826873,4.00405745733765
84,0,0,1.40012689252167,3.04966739055757
89,0,0,0.268818458607792,2.90886811534489
90,0,0,0.161020531562528,1.47254164370221
91,0,0,0.449346382496,1.6374362569094
92,0,0,0.529561276306566,1.46265845475511
97,0.678886734486361,1.71755731116075,0,0
98,1.02420986122991,1.2595803210077,0,0
99,0.694915385797606,0.973123095384835,0,0
100,0.8725035278557,1.14957021480721,0,0
