patient,Q96M98_N,Q96M98_C,Q96M98.2_N,Q96M98.2_C
33,0,0,1.21730898476672,0.481115802345145
34,0,0,1.14769194825449,0.427178073546345
35,0,0,1.913497555181,1.48789120517516
36,0,0,0.505080035014845,1.47875518281906
45,0.60175463860925,0.745503147908969,0,0
46,0.416462281345208,0.706825944710208,0,0
47,0.980986539820261,1.09959677963737,0,0
48,0.472463109387024,1.14888776883233,0,0
53,0,0,0.831148992362059,1.15882714845215
54,0,0,1.05638870965322,0.556642307288306
55,0,0,0.995897420506895,1.45784427004397
56,0,0,0.834414249486052,0.553241998169295
57,0,0,2.54142947262652,2.34946945343694
58,0,0,0.790742916287345,0.717837621398648
59,0,0,0.987617432298179,0.673456050950602
60,0,0,0.69204501240901,0.64687772686579
65,0,0,1.54906961172364,1.91181782800107
66,0,0,1.84566790297142,1.91435573795158
67,0,0,2.46952969850292,2.38911015193565
68,0,0,5.02432130948087,1.92591141433201
