patient,Q5VTB9_N,Q5VTB9_C,Q5VTB9.3_N,Q5VTB9.3_C
13,0,0,0.644046752490485,1.7311253457563
14,0,0,1.1186926772456,1.99137325042115
15,0,0,0.258808726576961,1.40874737433188
16,0,0,0.950753904706445,1.6578624461868
25,0,0,0.360972171025903,1.81139634561417
26,0,0,0.462792906477104,0.864882971939633
27,0,0,0.452735408152009,1.12518867899145
28,0,0,0.453187430548642,1.39830706850023
29,0.878222142246615,0.538540388038791,0.691911195292423,1.14392044866009
30,0.665751945656575,0.259634025907812,0.692379782674105,1.96649353596038
31,2.66419456351527,1.21043081860033,0.584777322343726,1.28442760818203
32,1.80130417365561,1.26197224132354,0.459909636622817,1.26374564090423
53,0,0,0.794327102661828,1.04182547033725
54,0,0,0.520255250011388,0.849264315106974
55,0,0,0.534347146089254,1.39262341133061
56,0,0,0.650631671652216,1.10543298358565
57,0,0,1.00685484989047,2.25657459526479
58,0,0,1.06531022107436,1.62662557585889
59,0,0,0.961093131682043,1.96120404517348
60,0,0,1.04327210644526,1.70874909387639
65,0,0,0.608674020649022,1.46072668673697
66,0,0,1.03060529523669,1.69619110503666
67,0,0,0.775327604676505,1.24616755628613
68,0,0,0.960547762406959,1.61772990044881
81,0,0,0.839105015753205,2.43413980759187
82,0,0,0.792415716139033,1.72215389281081
83,0,0,0.666978080299227,1.56160598453322
84,0,0,0.945327110676798,1.24428419793439
93,0,0,0.71324976822748,1.08795925883593
94,0,0,0.469807343061429,1.12977356142289
95,0,0,0.295468053491828,1.15159827789843
96,0,0,0.442368016662222,1.37046773599522
