patient,Q5VVQ6_N,Q5VVQ6_C,Q5VVQ6.2_N,Q5VVQ6.2_C
1,0,0,0.251983199430325,0.815933988566279
2,0,0,0.544851808193496,2.06189980005069
3,0,0,0.475324163290594,0.809726306811553
4,0,0,0.321141119152891,0.85655950402916
17,1.22685414203325,1.3069152530103,0,0
18,0.843572790231896,0.823750935064308,0,0
19,1.18054734441736,0.917292053763181,0,0
20,1.14612792886272,1.1453572548925,0,0
45,2.73908489059361,1.85854911765368,0,0
46,2.26768794583393,1.88919675790469,0,0
47,2.84500251260418,2.3495083605832,0,0
48,2.12837888363231,2.26431522422702,0,0
69,1.231443767795,1.12657189180639,0,0
70,1.03492763366023,1.00514077823474,0,0
71,0.851431509016134,0.862442660550459,0,0
72,0.834859419487504,0.900846251186333,0,0
81,1.42094328550335,1.11423352137205,0,0
82,1.01842369287851,1.34791106652027,0,0
83,1.20077707946844,2.09271949418847,0,0
84,1.27466588422368,1.46592113731874,0,0
