patient,Q0GE19.1_N,Q0GE19.1_C,Q0GE19.7_N,Q0GE19.7_C
13,0.537418884520239,1.47389963789333,0,0
14,0.822890399990439,2.49474766064749,0,0
15,0.66135258195203,1.97585955519438,0,0
16,0.56630316574447,1.09810342148978,0,0
17,0,0,1.49503112206851,4.31153013032208
18,0,0,0.443139194529415,0.556306340582467
19,0,0,0.844420094659788,2.59381008182542
20,0,0,0.49958909738392,2.59530150613564
25,0.917053648687626,2.23310498990482,0,0
26,1.30173781367176,1.06992356504182,0,0
27,1.05680703778483,0.859857225266801,0,0
28,0.900447072396885,1.7471300836458,0,0
61,1.08540962272936,1.97399449757354,0,0
62,1.32971437250815,3.74034538761444,0,0
63,1.59234574804911,2.79908698588438,0,0
64,1.60730184751288,2.8787503809645,0,0
65,0.753382784198724,1.49865792651371,0,0
66,0.796715542521994,1.64410557184751,0,0
67,1.00257374504054,1.99112644471278,0,0
68,0.626370881490426,2.05393824391927,0,0
73,1.82631339527184,2.01960000190102,0,0
74,1.7439726348944,5.68139751217411,0,0
75,1.34661592716228,2.63835488723843,0,0
76,1.59527163943558,2.97757725310825,0,0
77,2.30167789082387,2.11997383804362,0,0
78,1.80561292640707,3.23382420525081,0,0
79,1.7945735139641,3.67477403621449,0,0
80,1.42324974840538,4.20103463700382,0,0
