patient,Q9Y336_N,Q9Y336_C,Q9Y336.2_N,Q9Y336.2_C
17,1.01006735363537,1.74532726958724,0,0
18,0.466533878302919,0.762995797593691,0,0
19,0.543135110241207,1.23987565482701,0,0
20,1.22364400437511,1.70902768982787,0,0
49,0.475786878788264,1.32615178045754,0,0
50,0.375948257239793,0.772596159955272,0,0
51,1.03802135617198,0.826194137006493,0,0
52,0.612348628283162,1.07036693478362,0,0
61,0,0,0.677483744854752,1.17061849277451
62,0,0,0.481601124424943,3.1929534462089
63,0,0,0.628892524109584,1.55734626264535
64,0,0,0.655337770402348,1.42238574153581
65,0,0,0.707013516434873,2.03467639822526
66,0,0,0.837946901926066,1.8108882963939
67,0,0,1.05330396022277,1.89212073171987
68,0,0,0.777874429952337,1.82204218610062
73,1.33084092515136,1.64064439733379,0,0
74,1.00755362019901,2.45312171737428,0,0
75,0.555786970721366,1.28858457953742,0,0
76,0.853010943677305,3.48269638457572,0,0
