patient,Q66K79_N,Q66K79_C,Q66K79.2_N,Q66K79.2_C
37,1.03289521906911,2.46581918264981,0,0
38,0.856158152302795,2.24033286144427,0,0
39,0.963921326271765,0.835947886200479,0,0
40,0.562578957580287,2.17005253059494,0,0
57,0.455670024565346,1.99549159255803,0,0
58,1.07858530268695,0.896225696494201,0,0
59,0.685687353607678,0.730500066650163,0,0
60,0.783963018681089,0.871574657703807,0,0
61,0.743389455767392,1.74471165235091,0.589691309767796,0.767251579369942
62,0.522700193898769,2.51595497337182,0.656310084726066,1.39298316043018
63,0.638584100300938,2.24756749168692,0.827816983244945,1.36323924021213
64,0.763315405739754,1.51259464628829,0.953701747343067,1.1888588391895
85,0.677767490540214,1.87563803236454,0,0
86,0.702238950165043,1.13781499074149,0,0
87,0.313603574591418,2.25137267530795,0,0
88,0.519809194106755,1.40775299895339,0,0
