patient,Q9Y2J2_N,Q9Y2J2_C,Q9Y2J2.4_N,Q9Y2J2.4_C
1,0.585251461343333,1.92144314547259,0,0
2,0.843594904599096,1.33998014778868,0,0
3,0.748905371126062,1.0511084151318,0,0
4,0.711095180324253,1.22351935590603,0,0
17,0,0,0.858070959305244,7.59315152613484
18,0,0,0.75522781527582,0.795506666857887
19,0,0,0.633820206700626,0.876832294006673
20,0,0,0.688773055646458,0.933585657422461
21,0,0,1.10477601116103,45.001608188033
23,0,0,1.24027968131245,2.02924853572943
37,0.955713412635849,1.81171114516258,0,0
38,1.06792676769913,1.72768177429784,0,0
39,1.27991780409385,1.29602040725946,0,0
40,0.887901790063861,1.83869939150229,0,0
49,1.11091464215803,0.897812884849646,0,0
50,1.11998957774269,0.900449626869826,0,0
51,1.36450508753137,0.935929841283274,0,0
52,1.3472927741243,0.642928565224847,0,0
53,0.986900881753713,0.973782744823946,0,0
54,0.959171641241064,0.874165258095421,0,0
55,0.819705257952781,1.15402756282703,0,0
56,0.814261159806865,0.929913774043776,0,0
57,0.884031358649429,1.15498190436537,0,0
58,1.05370684716039,0.972755127096478,0,0
59,0.923286608518649,1.04923720761405,0,0
60,1.04331920557139,1.20156081521101,0,0
