patient,Q96A59_N,Q96A59_C,Q96A59.2_N,Q96A59.2_C
17,0,0,1.17967738819666,1.91860330339032
18,0,0,0.842675552979813,0.766323770887665
19,0,0,0.684791847773592,0.801566695643775
20,0,0,0.86361634308896,2.1617791944364
45,1.07651013785678,1.15720341216242,0,0
46,0.944885897349024,1.21301018679556,0,0
47,1.04300438943223,1.50566108764559,0,0
48,1.14587973106257,1.65782004080741,0,0
53,0,0,0.924956663087747,1.460900807956
54,0,0,0.742947629815796,1.49966710053564
55,0,0,0.763953286107595,1.92122578981148
56,0,0,0.694296322510602,0.766418541600437
61,0,0,0.873615221609249,1.03905544478322
62,0,0,0.675360556504323,1.70162105131392
63,0,0,0.754025804490303,1.05581584570953
64,0,0,0.931661912894198,1.4059155408124
65,0,0,0.846279976310649,1.29513130795273
66,0,0,0.878733503637376,1.40021302737534
67,0,0,0.984305804774995,1.1342028268114
68,0,0,0.700484394197877,0.953686434310666
77,0,0,0.891241839213765,1.34224812789314
78,0,0,0.886181901800622,1.18673078653483
79,0,0,0.672887693584347,1.05048939722658
80,0,0,0.514588936323372,1.02587456634107
