patient,P27815.2_N,P27815.2_C,P27815.4_N,P27815.4_C
1,0,0,0.585280321174113,1.04662553827014
2,0,0,0.925842676370805,1.42571496398511
3,0,0,1.09618094891805,0.666823928192584
4,0,0,0.823020683396488,0.862617532957308
13,1.02499856560904,1.48081932411498,2.00884666175835,1.33528497469878
14,1.04610132537724,1.05165528716507,1.326151994297,1.74907969007468
15,0.787394572264616,0.996895977967755,1.75311736727086,1.84181771435917
16,1.17815135693385,2.03891789546159,1.01485351003284,1.99180778085522
25,0.671180611812913,0.764280077142992,0,0
26,0.884818614666576,0.769215625811195,0,0
27,0.518962576589855,0.850909147925345,0,0
28,0.835184381854324,0.969083569832003,0,0
29,0.994828442750454,1.45414824044891,0,0
30,0.921638691392411,0.911232459462321,0,0
31,0.757661641704741,0.898275061692199,0,0
32,0.586692809499377,0.961235717136179,0,0
45,0.800359112673495,0.791714649372689,0,0
46,0.465547154372992,1.22297563488696,0,0
47,1.19277683495969,2.14077368325353,0,0
48,0.339804685132432,0.642905630644281,0,0
49,0.690915199992808,1.50427809529803,0,0
50,0.547775997267053,1.32274840933967,0,0
51,0.762006648072441,0.654175497425501,0,0
52,0.494248675667111,0.605434203635988,0,0
77,0,0,1.67994487636184,2.24578555517998
78,0,0,1.71649462197838,3.00923060922021
79,0,0,1.12454822018253,2.17202735380535
80,0,0,1.0368530989712,1.50179845203117
